FIPS,State,County,Year,% Fair/Poor,Physically Unhealthy Days,Mentally Unhealthy Days,% LBW,% Children in Poverty
6103,California,Tehama,2016,17.3,4.2,4,5.706319703,26.7
6105,California,Trinity,2016,15.2,4.1,4.1,5.658056581,31.7
6107,California,Tulare,2016,25.6,4.9,4.4,6.232398678,36.7
6109,California,Tuolumne,2016,13.4,3.7,3.7,4.483611627,20.5
6111,California,Ventura,2016,14.7,3.4,3.3,6.326179711,15.8
6113,California,Yolo,2016,16.2,3.9,3.7,5.506012312,17.5
6115,California,Yuba,2016,17.9,4.2,4,6.015037594,28.6
6001,California,Alameda,2017,11.13081599,2.973135393,3.199978411,7.229701335,13.8
6003,California,Alpine,2017,17.15019408,4.510960255,4.309987306,,35.7
6005,California,Amador,2017,12.60502935,3.468390838,3.531596194,6.428571429,19.5
6007,California,Butte,2017,16.39278739,4.313042692,4.100053349,5.830750336,23.8
6009,California,Calaveras,2017,12.39610284,3.608717215,3.708436763,5.300207039,21.2
6011,California,Colusa,2017,20.22350086,4.195037718,3.913952735,6.403508772,19.4
6013,California,Contra Costa,2017,12.05071755,3.302289394,3.458907653,6.749890797,12.7
6015,California,Del Norte,2017,17.77421802,4.399427181,4.116847299,5.137135394,33.8
6017,California,El Dorado,2017,12.00298901,3.703026111,3.502431086,6.28601362,11.6
6019,California,Fresno,2017,22.92290681,4.464850188,4.03541281,7.703821797,36.3
6021,California,Glenn,2017,19.90696622,4.323485214,4.075388774,6.095041322,25.7
6023,California,Humboldt,2017,15.71548208,4.388791192,4.187865955,5.497603609,23
6025,California,Imperial,2017,27.06973818,4.659593256,4.126724407,5.76291294,31.4
6027,California,Inyo,2017,14.72772915,3.88883392,3.825993439,8.468002586,19.9
6029,California,Kern,2017,22.68648984,4.509806056,4.114123992,7.085336716,31.3
6031,California,Kings,2017,22.58207193,4.513332941,4.034061714,6.349115802,28.4
6033,California,Lake,2017,18.18203282,4.501604617,4.360016204,6.368802665,30.2
6035,California,Lassen,2017,14.38214773,3.755492343,3.615486806,7.15903942,19.7
6037,California,Los Angeles,2017,19.1837263,3.582991891,3.695492706,7.124611667,23.5
6039,California,Madera,2017,22.75410394,4.699506387,4.269244861,6.286435483,32.3
6041,California,Marin,2017,10.97888618,3.215387781,3.443265522,6.231244484,8.8
6043,California,Mariposa,2017,13.62832133,3.788028852,3.843279423,6.225296443,24.1
